Year,Region,Postcode,Data Item,Sum of Value
2014,Holt,2615,Number of Businesses by Industry - Health care and social assistance (no.),10
2014,Holt,2615,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Holt,2615,Number of Businesses by Industry - Manufacturing (no.),5
2014,Holt,2615,Number of Businesses by Industry - Mining (no.),0
2014,Holt,2615,Number of Businesses by Industry - Other services (no.),8
2014,Holt,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",27
2014,Holt,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Holt,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",7
2014,Holt,2615,Number of Businesses by Industry - Retail trade (no.),14
2014,Holt,2615,Number of Businesses by Industry - Total (no.),190
2014,Holt,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",17
2014,Holt,2615,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Holt,2615,Number of Businesses by Industry - Accommodation and food services (no.),18
2015,Holt,2615,Number of Businesses by Industry - Administrative and support services (no.),13
2015,Holt,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Holt,2615,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Holt,2615,Number of Businesses by Industry - Construction (no.),50
2015,Holt,2615,Number of Businesses by Industry - Currently unknown (no.),4
2015,Holt,2615,Number of Businesses by Industry - Education and training (no.),5
2015,Holt,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Holt,2615,Number of Businesses by Industry - Financial and insurance services (no.),5
2015,Holt,2615,Number of Businesses by Industry - Health care and social assistance (no.),11
2015,Holt,2615,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Holt,2615,Number of Businesses by Industry - Manufacturing (no.),5
2015,Holt,2615,Number of Businesses by Industry - Mining (no.),0
2015,Holt,2615,Number of Businesses by Industry - Other services (no.),7
2015,Holt,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",28
2015,Holt,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Holt,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",9
2015,Holt,2615,Number of Businesses by Industry - Retail trade (no.),15
2015,Holt,2615,Number of Businesses by Industry - Total (no.),201
2015,Holt,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",17
2015,Holt,2615,Number of Businesses by Industry - Wholesale trade (no.),4
2014,Hughes,2605,Number of Businesses by Industry - Accommodation and food services (no.),3
2014,Hughes,2605,Number of Businesses by Industry - Administrative and support services (no.),6
2014,Hughes,2605,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Hughes,2605,Number of Businesses by Industry - Arts and recreation services (no.),6
2014,Hughes,2605,Number of Businesses by Industry - Construction (no.),18
2014,Hughes,2605,Number of Businesses by Industry - Currently unknown (no.),0
2014,Hughes,2605,Number of Businesses by Industry - Education and training (no.),4
2014,Hughes,2605,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Hughes,2605,Number of Businesses by Industry - Financial and insurance services (no.),14
2014,Hughes,2605,Number of Businesses by Industry - Health care and social assistance (no.),14
2014,Hughes,2605,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Hughes,2605,Number of Businesses by Industry - Manufacturing (no.),3
2014,Hughes,2605,Number of Businesses by Industry - Mining (no.),0
2014,Hughes,2605,Number of Businesses by Industry - Other services (no.),5
2014,Hughes,2605,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",36
2014,Hughes,2605,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Hughes,2605,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",19
2014,Hughes,2605,Number of Businesses by Industry - Retail trade (no.),10
2014,Hughes,2605,Number of Businesses by Industry - Total (no.),150
2014,Hughes,2605,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",5
2014,Hughes,2605,Number of Businesses by Industry - Wholesale trade (no.),4
2015,Hughes,2605,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Hughes,2605,Number of Businesses by Industry - Administrative and support services (no.),6
2015,Hughes,2605,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Hughes,2605,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Hughes,2605,Number of Businesses by Industry - Construction (no.),19
2015,Hughes,2605,Number of Businesses by Industry - Currently unknown (no.),3
2015,Hughes,2605,Number of Businesses by Industry - Education and training (no.),4
2015,Hughes,2605,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Hughes,2605,Number of Businesses by Industry - Financial and insurance services (no.),16
2015,Hughes,2605,Number of Businesses by Industry - Health care and social assistance (no.),14
2015,Hughes,2605,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Hughes,2605,Number of Businesses by Industry - Manufacturing (no.),0
2015,Hughes,2605,Number of Businesses by Industry - Mining (no.),0
2015,Hughes,2605,Number of Businesses by Industry - Other services (no.),5
2015,Hughes,2605,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",33
2015,Hughes,2605,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Hughes,2605,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",16
2015,Hughes,2605,Number of Businesses by Industry - Retail trade (no.),10
2015,Hughes,2605,Number of Businesses by Industry - Total (no.),140
2015,Hughes,2605,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",4
2015,Hughes,2605,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Hume,2620,Number of Businesses by Industry - Accommodation and food services (no.),3
2014,Hume,2620,Number of Businesses by Industry - Administrative and support services (no.),5
2014,Hume,2620,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Hume,2620,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Hume,2620,Number of Businesses by Industry - Construction (no.),54
2014,Hume,2620,Number of Businesses by Industry - Currently unknown (no.),3
2014,Hume,2620,Number of Businesses by Industry - Education and training (no.),0
2014,Hume,2620,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Hume,2620,Number of Businesses by Industry - Financial and insurance services (no.),5
2014,Hume,2620,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Hume,2620,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Hume,2620,Number of Businesses by Industry - Manufacturing (no.),30
2014,Hume,2620,Number of Businesses by Industry - Mining (no.),0
2014,Hume,2620,Number of Businesses by Industry - Other services (no.),17
2014,Hume,2620,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",5
2014,Hume,2620,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Hume,2620,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",32
2014,Hume,2620,Number of Businesses by Industry - Retail trade (no.),6
2014,Hume,2620,Number of Businesses by Industry - Total (no.),192
2014,Hume,2620,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",15
2014,Hume,2620,Number of Businesses by Industry - Wholesale trade (no.),11
2015,Hume,2620,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Hume,2620,Number of Businesses by Industry - Administrative and support services (no.),6
2015,Hume,2620,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Hume,2620,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Hume,2620,Number of Businesses by Industry - Construction (no.),47
2015,Hume,2620,Number of Businesses by Industry - Currently unknown (no.),3
2015,Hume,2620,Number of Businesses by Industry - Education and training (no.),3
2015,Hume,2620,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Hume,2620,Number of Businesses by Industry - Financial and insurance services (no.),5
2015,Hume,2620,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Hume,2620,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Hume,2620,Number of Businesses by Industry - Manufacturing (no.),28
2015,Hume,2620,Number of Businesses by Industry - Mining (no.),0
2015,Hume,2620,Number of Businesses by Industry - Other services (no.),17
2015,Hume,2620,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",5
2015,Hume,2620,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Hume,2620,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",36
2015,Hume,2620,Number of Businesses by Industry - Retail trade (no.),6
2015,Hume,2620,Number of Businesses by Industry - Total (no.),186
2015,Hume,2620,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",15
2015,Hume,2620,Number of Businesses by Industry - Wholesale trade (no.),12
2014,Isaacs,2706,Number of Businesses by Industry - Accommodation and food services (no.),5
2014,Isaacs,2706,Number of Businesses by Industry - Administrative and support services (no.),3
2014,Isaacs,2706,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Isaacs,2706,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Isaacs,2706,Number of Businesses by Industry - Construction (no.),29
2014,Isaacs,2706,Number of Businesses by Industry - Currently unknown (no.),6
2014,Isaacs,2706,Number of Businesses by Industry - Education and training (no.),3
2014,Isaacs,2706,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Isaacs,2706,Number of Businesses by Industry - Financial and insurance services (no.),17
2014,Isaacs,2706,Number of Businesses by Industry - Health care and social assistance (no.),24
2014,Isaacs,2706,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Isaacs,2706,Number of Businesses by Industry - Manufacturing (no.),0
2014,Isaacs,2706,Number of Businesses by Industry - Mining (no.),0
2014,Isaacs,2706,Number of Businesses by Industry - Other services (no.),4
2014,Isaacs,2706,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",41
2014,Isaacs,2706,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Isaacs,2706,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",17
2014,Isaacs,2706,Number of Businesses by Industry - Retail trade (no.),7
2014,Isaacs,2706,Number of Businesses by Industry - Total (no.),168
2014,Isaacs,2706,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",6
2014,Isaacs,2706,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Isaacs,2706,Number of Businesses by Industry - Accommodation and food services (no.),6
2015,Isaacs,2706,Number of Businesses by Industry - Administrative and support services (no.),3
2015,Isaacs,2706,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Isaacs,2706,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Isaacs,2706,Number of Businesses by Industry - Construction (no.),24
2015,Isaacs,2706,Number of Businesses by Industry - Currently unknown (no.),8
2015,Isaacs,2706,Number of Businesses by Industry - Education and training (no.),0
2015,Isaacs,2706,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Isaacs,2706,Number of Businesses by Industry - Financial and insurance services (no.),21
2015,Isaacs,2706,Number of Businesses by Industry - Health care and social assistance (no.),26
2015,Isaacs,2706,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Isaacs,2706,Number of Businesses by Industry - Manufacturing (no.),0
2015,Isaacs,2706,Number of Businesses by Industry - Mining (no.),0
2015,Isaacs,2706,Number of Businesses by Industry - Other services (no.),3
2015,Isaacs,2706,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",43
2015,Isaacs,2706,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Isaacs,2706,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",20
2015,Isaacs,2706,Number of Businesses by Industry - Retail trade (no.),7
2015,Isaacs,2706,Number of Businesses by Industry - Total (no.),172
2015,Isaacs,2706,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",5
2015,Isaacs,2706,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Isabella Plains,2905,Number of Businesses by Industry - Accommodation and food services (no.),9
2014,Isabella Plains,2905,Number of Businesses by Industry - Administrative and support services (no.),11
2014,Isabella Plains,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Isabella Plains,2905,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Isabella Plains,2905,Number of Businesses by Industry - Construction (no.),54
2014,Isabella Plains,2905,Number of Businesses by Industry - Currently unknown (no.),0
2014,Isabella Plains,2905,Number of Businesses by Industry - Education and training (no.),3
2014,Isabella Plains,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Isabella Plains,2905,Number of Businesses by Industry - Financial and insurance services (no.),5
2014,Isabella Plains,2905,Number of Businesses by Industry - Health care and social assistance (no.),9
2014,Isabella Plains,2905,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Isabella Plains,2905,Number of Businesses by Industry - Manufacturing (no.),3
2014,Isabella Plains,2905,Number of Businesses by Industry - Mining (no.),0
2014,Isabella Plains,2905,Number of Businesses by Industry - Other services (no.),11
2014,Isabella Plains,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",9
2014,Isabella Plains,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Isabella Plains,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2014,Isabella Plains,2905,Number of Businesses by Industry - Retail trade (no.),8
2014,Isabella Plains,2905,Number of Businesses by Industry - Total (no.),163
2014,Isabella Plains,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",20
2014,Isabella Plains,2905,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Isabella Plains,2905,Number of Businesses by Industry - Accommodation and food services (no.),7
2015,Isabella Plains,2905,Number of Businesses by Industry - Administrative and support services (no.),11
2015,Isabella Plains,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Isabella Plains,2905,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Isabella Plains,2905,Number of Businesses by Industry - Construction (no.),54
2015,Isabella Plains,2905,Number of Businesses by Industry - Currently unknown (no.),0
2015,Isabella Plains,2905,Number of Businesses by Industry - Education and training (no.),3
2015,Isabella Plains,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Isabella Plains,2905,Number of Businesses by Industry - Financial and insurance services (no.),6
2015,Isabella Plains,2905,Number of Businesses by Industry - Health care and social assistance (no.),10
2015,Isabella Plains,2905,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Isabella Plains,2905,Number of Businesses by Industry - Manufacturing (no.),3
2015,Isabella Plains,2905,Number of Businesses by Industry - Mining (no.),0
2015,Isabella Plains,2905,Number of Businesses by Industry - Other services (no.),13
2015,Isabella Plains,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",10
2015,Isabella Plains,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Isabella Plains,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2015,Isabella Plains,2905,Number of Businesses by Industry - Retail trade (no.),8
2015,Isabella Plains,2905,Number of Businesses by Industry - Total (no.),168
2015,Isabella Plains,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",22
2015,Isabella Plains,2905,Number of Businesses by Industry - Wholesale trade (no.),4
2014,Kaleen,2617,Number of Businesses by Industry - Accommodation and food services (no.),14
2014,Kaleen,2617,Number of Businesses by Industry - Administrative and support services (no.),24
2014,Kaleen,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",7
2014,Kaleen,2617,Number of Businesses by Industry - Arts and recreation services (no.),7
2014,Kaleen,2617,Number of Businesses by Industry - Construction (no.),103
2014,Kaleen,2617,Number of Businesses by Industry - Currently unknown (no.),9
2014,Kaleen,2617,Number of Businesses by Industry - Education and training (no.),10
2014,Kaleen,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Kaleen,2617,Number of Businesses by Industry - Financial and insurance services (no.),31
2014,Kaleen,2617,Number of Businesses by Industry - Health care and social assistance (no.),14
2014,Kaleen,2617,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Kaleen,2617,Number of Businesses by Industry - Manufacturing (no.),8
2014,Kaleen,2617,Number of Businesses by Industry - Mining (no.),0
2014,Kaleen,2617,Number of Businesses by Industry - Other services (no.),19
2014,Kaleen,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",72
2014,Kaleen,2617,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Kaleen,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",37
2014,Kaleen,2617,Number of Businesses by Industry - Retail trade (no.),21
2014,Kaleen,2617,Number of Businesses by Industry - Total (no.),415
2014,Kaleen,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",27
2014,Kaleen,2617,Number of Businesses by Industry - Wholesale trade (no.),9
2015,Kaleen,2617,Number of Businesses by Industry - Accommodation and food services (no.),18
2015,Kaleen,2617,Number of Businesses by Industry - Administrative and support services (no.),23
2015,Kaleen,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2015,Kaleen,2617,Number of Businesses by Industry - Arts and recreation services (no.),8
2015,Kaleen,2617,Number of Businesses by Industry - Construction (no.),92
2015,Kaleen,2617,Number of Businesses by Industry - Currently unknown (no.),6
2015,Kaleen,2617,Number of Businesses by Industry - Education and training (no.),11
2015,Kaleen,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Kaleen,2617,Number of Businesses by Industry - Financial and insurance services (no.),27
2015,Kaleen,2617,Number of Businesses by Industry - Health care and social assistance (no.),16
2015,Kaleen,2617,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Kaleen,2617,Number of Businesses by Industry - Manufacturing (no.),7
2015,Kaleen,2617,Number of Businesses by Industry - Mining (no.),3
2015,Kaleen,2617,Number of Businesses by Industry - Other services (no.),23
2015,Kaleen,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",76
2015,Kaleen,2617,Number of Businesses by Industry - Public administration and safety (no.),3
2015,Kaleen,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",33
2015,Kaleen,2617,Number of Businesses by Industry - Retail trade (no.),17
2015,Kaleen,2617,Number of Businesses by Industry - Total (no.),400
2015,Kaleen,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",23
2015,Kaleen,2617,Number of Businesses by Industry - Wholesale trade (no.),8
2014,Kambah,2902,Number of Businesses by Industry - Accommodation and food services (no.),26
2014,Kambah,2902,Number of Businesses by Industry - Administrative and support services (no.),45
2014,Kambah,2902,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",5
2014,Kambah,2902,Number of Businesses by Industry - Arts and recreation services (no.),13
2014,Kambah,2902,Number of Businesses by Industry - Construction (no.),193
2014,Kambah,2902,Number of Businesses by Industry - Currently unknown (no.),9
2014,Kambah,2902,Number of Businesses by Industry - Education and training (no.),21
2014,Kambah,2902,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Kambah,2902,Number of Businesses by Industry - Financial and insurance services (no.),52
2014,Kambah,2902,Number of Businesses by Industry - Health care and social assistance (no.),39
2014,Kambah,2902,Number of Businesses by Industry - Information media and telecommunications (no.),6
2014,Kambah,2902,Number of Businesses by Industry - Manufacturing (no.),11
2014,Kambah,2902,Number of Businesses by Industry - Mining (no.),0
2014,Kambah,2902,Number of Businesses by Industry - Other services (no.),34
2014,Kambah,2902,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",144
2014,Kambah,2902,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Kambah,2902,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",44
2014,Kambah,2902,Number of Businesses by Industry - Retail trade (no.),32
2014,Kambah,2902,Number of Businesses by Industry - Total (no.),731
2014,Kambah,2902,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",40
2014,Kambah,2902,Number of Businesses by Industry - Wholesale trade (no.),11
2015,Kambah,2902,Number of Businesses by Industry - Accommodation and food services (no.),26
2015,Kambah,2902,Number of Businesses by Industry - Administrative and support services (no.),34
2015,Kambah,2902,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",5
2015,Kambah,2902,Number of Businesses by Industry - Arts and recreation services (no.),8
2015,Kambah,2902,Number of Businesses by Industry - Construction (no.),189
2015,Kambah,2902,Number of Businesses by Industry - Currently unknown (no.),6
2015,Kambah,2902,Number of Businesses by Industry - Education and training (no.),21
2015,Kambah,2902,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Kambah,2902,Number of Businesses by Industry - Financial and insurance services (no.),58
2015,Kambah,2902,Number of Businesses by Industry - Health care and social assistance (no.),37
2015,Kambah,2902,Number of Businesses by Industry - Information media and telecommunications (no.),6
2015,Kambah,2902,Number of Businesses by Industry - Manufacturing (no.),11
2015,Kambah,2902,Number of Businesses by Industry - Mining (no.),0
2015,Kambah,2902,Number of Businesses by Industry - Other services (no.),33
2015,Kambah,2902,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",149
2015,Kambah,2902,Number of Businesses by Industry - Public administration and safety (no.),3
2015,Kambah,2902,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",46
2015,Kambah,2902,Number of Businesses by Industry - Retail trade (no.),30
2015,Kambah,2902,Number of Businesses by Industry - Total (no.),711
2015,Kambah,2902,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",36
2015,Kambah,2902,Number of Businesses by Industry - Wholesale trade (no.),10
2014,Kingston - Barton,2600,Number of Businesses by Industry - Accommodation and food services (no.),80
2014,Kingston - Barton,2600,Number of Businesses by Industry - Administrative and support services (no.),33
2014,Kingston - Barton,2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",13
2014,Kingston - Barton,2600,Number of Businesses by Industry - Arts and recreation services (no.),9
2014,Kingston - Barton,2600,Number of Businesses by Industry - Construction (no.),120
2014,Kingston - Barton,2600,Number of Businesses by Industry - Currently unknown (no.),31
2014,Kingston - Barton,2600,Number of Businesses by Industry - Education and training (no.),14
2014,Kingston - Barton,2600,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Kingston - Barton,2600,Number of Businesses by Industry - Financial and insurance services (no.),85
2014,Kingston - Barton,2600,Number of Businesses by Industry - Health care and social assistance (no.),43
2014,Kingston - Barton,2600,Number of Businesses by Industry - Information media and telecommunications (no.),11
2014,Kingston - Barton,2600,Number of Businesses by Industry - Manufacturing (no.),18
2014,Kingston - Barton,2600,Number of Businesses by Industry - Mining (no.),0
2014,Kingston - Barton,2600,Number of Businesses by Industry - Other services (no.),23
2014,Kingston - Barton,2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",226
2014,Kingston - Barton,2600,Number of Businesses by Industry - Public administration and safety (no.),11
2014,Kingston - Barton,2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",147
2014,Kingston - Barton,2600,Number of Businesses by Industry - Retail trade (no.),47
2014,Kingston - Barton,2600,Number of Businesses by Industry - Total (no.),937
2014,Kingston - Barton,2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",14
2014,Kingston - Barton,2600,Number of Businesses by Industry - Wholesale trade (no.),9
2015,Kingston - Barton,2600,Number of Businesses by Industry - Accommodation and food services (no.),72
2015,Kingston - Barton,2600,Number of Businesses by Industry - Administrative and support services (no.),29
2015,Kingston - Barton,2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",11
2015,Kingston - Barton,2600,Number of Businesses by Industry - Arts and recreation services (no.),9
2015,Kingston - Barton,2600,Number of Businesses by Industry - Construction (no.),111
2015,Kingston - Barton,2600,Number of Businesses by Industry - Currently unknown (no.),28
2015,Kingston - Barton,2600,Number of Businesses by Industry - Education and training (no.),13
2015,Kingston - Barton,2600,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2015,Kingston - Barton,2600,Number of Businesses by Industry - Financial and insurance services (no.),88
2015,Kingston - Barton,2600,Number of Businesses by Industry - Health care and social assistance (no.),42
2015,Kingston - Barton,2600,Number of Businesses by Industry - Information media and telecommunications (no.),10
2015,Kingston - Barton,2600,Number of Businesses by Industry - Manufacturing (no.),14
2015,Kingston - Barton,2600,Number of Businesses by Industry - Mining (no.),0
2015,Kingston - Barton,2600,Number of Businesses by Industry - Other services (no.),27
2015,Kingston - Barton,2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",237
2015,Kingston - Barton,2600,Number of Businesses by Industry - Public administration and safety (no.),8
2015,Kingston - Barton,2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",141
2015,Kingston - Barton,2600,Number of Businesses by Industry - Retail trade (no.),42
2015,Kingston - Barton,2600,Number of Businesses by Industry - Total (no.),906
2015,Kingston - Barton,2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",14
2015,Kingston - Barton,2600,Number of Businesses by Industry - Wholesale trade (no.),7
2014,Kowen,2609,Number of Businesses by Industry - Accommodation and food services (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Administrative and support services (no.),0
2014,Kowen,2609,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Kowen,2609,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Construction (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Currently unknown (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Education and training (no.),0
2014,Kowen,2609,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Kowen,2609,Number of Businesses by Industry - Financial and insurance services (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Manufacturing (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Mining (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Other services (no.),0
2014,Kowen,2609,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2014,Kowen,2609,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Kowen,2609,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2014,Kowen,2609,Number of Businesses by Industry - Retail trade (no.),0
2014,Kowen,2609,Number of Businesses by Industry - Total (no.),0
2014,Kowen,2609,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2014,Kowen,2609,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Accommodation and food services (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Administrative and support services (no.),0
2015,Kowen,2609,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Kowen,2609,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Construction (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Currently unknown (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Education and training (no.),0
2015,Kowen,2609,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Kowen,2609,Number of Businesses by Industry - Financial and insurance services (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Manufacturing (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Mining (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Other services (no.),0
2015,Kowen,2609,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2015,Kowen,2609,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Kowen,2609,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Kowen,2609,Number of Businesses by Industry - Retail trade (no.),0
2015,Kowen,2609,Number of Businesses by Industry - Total (no.),0
2015,Kowen,2609,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2015,Kowen,2609,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Accommodation and food services (no.),0
2014,Lake Burley Griffin,2600,Number of Businesses by Industry - Administrative and support services (no.),0
